DimArray,processes,generateArray_time,countingSort_time,elapsed
100000000,16,0.489177,0.174679,0.663856
100000000,16,0.373433,0.206674,0.580107
100000000,16,0.307501,0.249245,0.556746
100000000,16,0.298438,0.284856,0.583294
100000000,16,0.267208,0.301343,0.568551
100000000,16,0.375954,0.318891,0.694845
100000000,16,0.413640,0.363328,0.776968
100000000,16,0.420324,0.181560,0.601884
100000000,16,0.401818,0.295588,0.697406
100000000,16,0.335987,0.262096,0.598083
100000000,16,0.416470,0.295872,0.712342
100000000,16,0.386968,0.330028,0.716996
100000000,16,0.409364,0.215395,0.624759
100000000,16,0.334347,0.289578,0.623925
100000000,16,0.451450,0.392191,0.843641
100000000,16,0.406642,0.270347,0.676989
100000000,16,0.411532,0.242286,0.653818
100000000,16,0.486159,0.243577,0.729736
100000000,16,0.570199,0.319126,0.889325
100000000,16,0.348046,0.214368,0.562414
100000000,16,0.314276,0.196674,0.510950
100000000,16,0.469175,0.201935,0.671110
100000000,16,0.446919,0.300972,0.747891
100000000,16,0.379219,0.252126,0.631345
100000000,16,0.370740,0.253815,0.624555
100000000,16,0.401435,0.274553,0.675988
100000000,16,0.317181,0.300034,0.617215
100000000,16,0.415503,0.241416,0.656919
100000000,16,0.413447,0.194763,0.608210
100000000,16,0.308170,0.269363,0.577533
100000000,16,0.396462,0.188286,0.584748
100000000,16,0.351007,0.316466,0.667473
100000000,16,0.520516,0.288245,0.808761
100000000,16,0.426092,0.233906,0.659998
100000000,16,0.363887,0.346289,0.710176
100000000,16,0.357862,0.262481,0.620343
100000000,16,0.380400,0.311786,0.692186
100000000,16,0.348580,0.269247,0.617827
100000000,16,0.444556,0.336166,0.780722
100000000,16,0.375658,0.234101,0.609759
100000000,16,0.415244,0.288381,0.703625
100000000,16,0.340672,0.349872,0.690544
100000000,16,0.439220,0.233103,0.672323
100000000,16,0.491665,0.217696,0.709361
100000000,16,0.432046,0.212218,0.644264
100000000,16,0.398662,0.205678,0.604340
100000000,16,0.486568,0.305301,0.791869
100000000,16,0.366774,0.325020,0.691794
100000000,16,0.437319,0.233105,0.670424
100000000,16,0.328325,0.186477,0.514802
