DimArray,processes,generateArray_time,countingSort_time,elapsed
100000000,2,0.837054,0.135475,0.972529
100000000,2,0.843972,0.140390,0.984362
100000000,2,0.833940,0.138446,0.972386
100000000,2,0.834040,0.134160,0.968200
100000000,2,0.827012,0.134406,0.961418
100000000,2,0.829811,0.134808,0.964619
100000000,2,0.831176,0.137694,0.968870
100000000,2,0.829402,0.136054,0.965456
100000000,2,0.833812,0.134448,0.968260
100000000,2,0.837369,0.134889,0.972258
100000000,2,0.842383,0.140200,0.982583
100000000,2,0.835169,0.134547,0.969716
100000000,2,0.838537,0.134782,0.973319
100000000,2,0.850464,0.142354,0.992818
100000000,2,0.837030,0.134338,0.971368
100000000,2,0.847684,0.141345,0.989029
100000000,2,0.845012,0.134575,0.979587
100000000,2,0.848278,0.143222,0.991500
100000000,2,0.839866,0.135619,0.975485
100000000,2,0.847828,0.140536,0.988364
100000000,2,0.848049,0.134413,0.982462
100000000,2,0.833069,0.134092,0.967161
100000000,2,0.836139,0.134961,0.971100
100000000,2,0.836147,0.134612,0.970759
100000000,2,0.843954,0.139585,0.983539
100000000,2,0.845294,0.134347,0.979641
100000000,2,0.839759,0.135688,0.975447
100000000,2,0.844518,0.135599,0.980117
100000000,2,0.848076,0.137494,0.985570
100000000,2,0.841328,0.134486,0.975814
100000000,2,0.850657,0.135304,0.985961
100000000,2,0.854510,0.141209,0.995719
100000000,2,0.840154,0.134841,0.974995
100000000,2,0.832524,0.134916,0.967440
100000000,2,0.838906,0.134450,0.973356
100000000,2,0.841158,0.138045,0.979203
100000000,2,0.837837,0.134649,0.972486
100000000,2,0.849211,0.139159,0.988370
100000000,2,0.844296,0.134541,0.978837
100000000,2,0.848081,0.134742,0.982823
100000000,2,0.848482,0.142612,0.991094
100000000,2,0.842833,0.134618,0.977451
100000000,2,0.833668,0.135414,0.969082
100000000,2,0.846920,0.134642,0.981562
100000000,2,0.846752,0.142355,0.989107
100000000,2,0.839830,0.134381,0.974211
100000000,2,0.846932,0.140364,0.987296
100000000,2,0.839988,0.134539,0.974527
100000000,2,0.835570,0.134824,0.970394
100000000,2,0.832662,0.134838,0.967500
