DimArray,processes,generateArray_time,countingSort_time,elapsed
150000000,4,0.480799,0.319887,0.800686
150000000,4,0.475438,0.318123,0.793561
150000000,4,0.476394,0.320792,0.797186
150000000,4,0.487474,0.312637,0.800111
150000000,4,0.483140,0.312131,0.795271
150000000,4,0.483780,0.314162,0.797942
150000000,4,0.507717,0.308521,0.816238
150000000,4,0.502797,0.306785,0.809582
150000000,4,0.507522,0.305754,0.813276
150000000,4,0.506364,0.305750,0.812114
150000000,4,0.510101,0.308297,0.818398
150000000,4,0.508966,0.305169,0.814135
150000000,4,0.509308,0.304806,0.814114
150000000,4,0.508354,0.305371,0.813725
150000000,4,0.508511,0.305403,0.813914
150000000,4,0.509074,0.305799,0.814873
150000000,4,0.509069,0.305300,0.814369
150000000,4,0.507805,0.305137,0.812942
150000000,4,0.510571,0.308310,0.818881
150000000,4,0.501099,0.310397,0.811496
150000000,4,0.509708,0.305039,0.814747
150000000,4,0.508174,0.305729,0.813903
150000000,4,0.509649,0.305290,0.814939
150000000,4,0.512404,0.305265,0.817669
150000000,4,0.509332,0.307275,0.816607
150000000,4,0.509624,0.305638,0.815262
150000000,4,0.508504,0.305385,0.813889
150000000,4,0.508904,0.305967,0.814871
150000000,4,0.502733,0.309580,0.812313
150000000,4,0.502460,0.309374,0.811834
150000000,4,0.505866,0.305873,0.811739
150000000,4,0.507824,0.305629,0.813453
150000000,4,0.504610,0.305116,0.809726
150000000,4,0.500896,0.305914,0.806810
150000000,4,0.500195,0.307913,0.808108
150000000,4,0.497713,0.310067,0.807780
150000000,4,0.500315,0.305899,0.806214
150000000,4,0.500660,0.305493,0.806153
150000000,4,0.507940,0.306414,0.814354
150000000,4,0.500603,0.309205,0.809808
150000000,4,0.508340,0.305765,0.814105
150000000,4,0.508684,0.305533,0.814217
150000000,4,0.509261,0.306663,0.815924
150000000,4,0.509739,0.306144,0.815883
150000000,4,0.501681,0.310751,0.812432
150000000,4,0.509531,0.305914,0.815445
150000000,4,0.509582,0.305737,0.815319
150000000,4,0.510673,0.306231,0.816904
150000000,4,0.504801,0.306040,0.810841
150000000,4,0.511152,0.307085,0.818237
