DimArray,processes,generateArray_time,countingSort_time,elapsed
150000000,4,0.478959,0.205009,0.683968
150000000,4,0.478915,0.207621,0.686536
150000000,4,0.471554,0.208053,0.679607
150000000,4,0.467882,0.210386,0.678268
150000000,4,0.461166,0.207046,0.668212
150000000,4,0.449649,0.215871,0.665520
150000000,4,0.451291,0.216876,0.668167
150000000,4,0.457292,0.211525,0.668817
150000000,4,0.455986,0.212480,0.668466
150000000,4,0.458513,0.211944,0.670457
150000000,4,0.457693,0.214437,0.672130
150000000,4,0.457371,0.215221,0.672592
150000000,4,0.462886,0.212556,0.675442
150000000,4,0.468075,0.211132,0.679207
150000000,4,0.469783,0.213419,0.683202
150000000,4,0.467733,0.211296,0.679029
150000000,4,0.473719,0.208350,0.682069
150000000,4,0.465660,0.212521,0.678181
150000000,4,0.466540,0.212118,0.678658
150000000,4,0.467938,0.212482,0.680420
150000000,4,0.467922,0.208525,0.676447
150000000,4,0.475117,0.207677,0.682794
150000000,4,0.465746,0.212261,0.678007
150000000,4,0.466602,0.212462,0.679064
150000000,4,0.468609,0.208602,0.677211
150000000,4,0.465569,0.213396,0.678965
150000000,4,0.467044,0.212965,0.680009
150000000,4,0.465580,0.213218,0.678798
150000000,4,0.464775,0.217548,0.682323
150000000,4,0.467087,0.211796,0.678883
150000000,4,0.471018,0.208511,0.679529
150000000,4,0.467988,0.208460,0.676448
150000000,4,0.466277,0.213728,0.680005
150000000,4,0.471527,0.208783,0.680310
150000000,4,0.470812,0.208474,0.679286
150000000,4,0.470735,0.210661,0.681396
150000000,4,0.473253,0.210135,0.683388
150000000,4,0.466242,0.212724,0.678966
150000000,4,0.470806,0.206423,0.677229
150000000,4,0.468711,0.213078,0.681789
150000000,4,0.470412,0.209964,0.680376
150000000,4,0.467548,0.212683,0.680231
150000000,4,0.466883,0.212527,0.679410
150000000,4,0.472477,0.208549,0.681026
150000000,4,0.473961,0.206525,0.680486
150000000,4,0.465171,0.213467,0.678638
150000000,4,0.469272,0.212488,0.681760
150000000,4,0.469172,0.208975,0.678147
150000000,4,0.465505,0.212973,0.678478
150000000,4,0.465463,0.212840,0.678303
