DimArray,processes,generateArray_time,countingSort_time,elapsed
150000000,1,1.066667,0.114386,1.181053
150000000,1,1.059738,0.114347,1.174085
150000000,1,1.070097,0.115134,1.185231
150000000,1,1.059974,0.114721,1.174695
150000000,1,1.062734,0.114528,1.177262
150000000,1,1.060334,0.114362,1.174696
150000000,1,1.060930,0.114391,1.175321
150000000,1,1.060135,0.116147,1.176282
150000000,1,1.060641,0.114339,1.174980
150000000,1,1.058008,0.114503,1.172511
150000000,1,1.059487,0.114309,1.173796
150000000,1,1.062467,0.117654,1.180121
150000000,1,1.059981,0.114583,1.174564
150000000,1,1.057165,0.114528,1.171693
150000000,1,1.060026,0.114408,1.174434
150000000,1,1.064428,0.115310,1.179738
150000000,1,1.060663,0.114290,1.174953
150000000,1,1.062135,0.114392,1.176527
150000000,1,1.063552,0.116271,1.179823
150000000,1,1.064195,0.114328,1.178523
150000000,1,1.059100,0.114501,1.173601
150000000,1,1.060202,0.114286,1.174488
150000000,1,1.061876,0.114286,1.176162
150000000,1,1.062906,0.114630,1.177536
150000000,1,1.063123,0.114424,1.177547
150000000,1,1.059165,0.114454,1.173619
150000000,1,1.059233,0.114313,1.173546
150000000,1,1.064345,0.114452,1.178797
150000000,1,1.061004,0.114306,1.175310
150000000,1,1.059423,0.114296,1.173719
150000000,1,1.061051,0.114346,1.175397
150000000,1,1.063572,0.114434,1.178006
150000000,1,1.060923,0.114325,1.175248
150000000,1,1.058684,0.114378,1.173062
150000000,1,1.060377,0.114421,1.174798
150000000,1,1.062152,0.114436,1.176588
150000000,1,1.058487,0.114392,1.172879
150000000,1,1.059575,0.114386,1.173961
150000000,1,1.059487,0.114854,1.174341
150000000,1,1.063292,0.114499,1.177791
150000000,1,1.059578,0.114456,1.174034
150000000,1,1.059405,0.114288,1.173693
150000000,1,1.062718,0.114668,1.177386
150000000,1,1.059354,0.114334,1.173688
150000000,1,1.061209,0.114336,1.175545
150000000,1,1.061480,0.117397,1.178877
150000000,1,1.061719,0.114860,1.176579
150000000,1,1.058463,0.114349,1.172812
150000000,1,1.061791,0.114427,1.176218
150000000,1,1.060809,0.114307,1.175116
