DimArray,processes,generateArray_time,countingSort_time,elapsed
150000000,16,0.472026,0.251555,0.723581
150000000,16,0.491139,0.419394,0.910533
150000000,16,0.498745,0.236850,0.735595
150000000,16,0.447031,0.349344,0.796375
150000000,16,0.634389,0.258864,0.893253
150000000,16,0.472734,0.254552,0.727286
150000000,16,0.483726,0.419041,0.902767
150000000,16,0.468715,0.301417,0.770132
150000000,16,0.602923,0.427250,1.030173
150000000,16,0.424313,0.397392,0.821705
150000000,16,0.479704,0.374005,0.853709
150000000,16,0.504293,0.398827,0.903120
150000000,16,0.500657,0.338743,0.839400
150000000,16,0.511880,0.249975,0.761855
150000000,16,0.561443,0.273536,0.834979
150000000,16,0.586799,0.335412,0.922211
150000000,16,0.559127,0.455648,1.014775
150000000,16,0.513892,0.478312,0.992204
150000000,16,0.483022,0.284448,0.767470
150000000,16,0.492920,0.264321,0.757241
150000000,16,0.537763,0.367893,0.905656
150000000,16,0.516298,0.347331,0.863629
150000000,16,0.629080,0.360684,0.989764
150000000,16,0.375422,0.469782,0.845204
150000000,16,0.502645,0.367736,0.870381
150000000,16,0.479916,0.387750,0.867666
150000000,16,0.656381,0.321124,0.977505
150000000,16,0.429502,0.367326,0.796828
150000000,16,0.510338,0.259895,0.770233
150000000,16,0.552392,0.521214,1.073606
150000000,16,0.503698,0.423192,0.926890
150000000,16,0.504139,0.363111,0.867250
150000000,16,0.500932,0.376463,0.877395
150000000,16,0.480001,0.243493,0.723494
150000000,16,0.461852,0.267923,0.729775
150000000,16,0.591108,0.333135,0.924243
150000000,16,0.493635,0.341053,0.834688
150000000,16,0.556704,0.308167,0.864871
150000000,16,0.572971,0.281323,0.854294
150000000,16,0.397048,0.450540,0.847588
150000000,16,0.542401,0.292070,0.834471
150000000,16,0.580497,0.303067,0.883564
150000000,16,0.487365,0.480390,0.967755
150000000,16,0.517006,0.300583,0.817589
150000000,16,0.449111,0.433972,0.883083
150000000,16,0.537149,0.438375,0.975524
150000000,16,0.451290,0.373637,0.824927
150000000,16,0.481226,0.271763,0.752989
150000000,16,0.505229,0.437941,0.943170
150000000,16,0.552636,0.380960,0.933596
