DimArray,processes,generateArray_time,countingSort_time,elapsed
150000000,16,0.524989,0.453606,0.978595
150000000,16,0.543074,0.470557,1.013631
150000000,16,0.559475,0.367956,0.927431
150000000,16,0.582434,0.491231,1.073665
150000000,16,0.631291,0.308588,0.939879
150000000,16,0.552781,0.345515,0.898296
150000000,16,0.585173,0.296113,0.881286
150000000,16,0.466545,0.427036,0.893581
150000000,16,0.406796,0.507538,0.914334
150000000,16,0.563010,0.427957,0.990967
150000000,16,0.438813,0.454312,0.893125
150000000,16,0.526123,0.440471,0.966594
150000000,16,0.529725,0.428507,0.958232
150000000,16,0.502332,0.345245,0.847577
150000000,16,0.492908,0.440963,0.933871
150000000,16,0.484629,0.327394,0.812023
150000000,16,0.538384,0.293281,0.831665
150000000,16,0.502327,0.387330,0.889657
150000000,16,0.496198,0.313216,0.809414
150000000,16,0.438545,0.273329,0.711874
150000000,16,0.442622,0.474214,0.916836
150000000,16,0.459685,0.367232,0.826917
150000000,16,0.481427,0.313535,0.794962
150000000,16,0.532524,0.412371,0.944895
150000000,16,0.491343,0.422621,0.913964
150000000,16,0.454021,0.329733,0.783754
150000000,16,0.531044,0.451824,0.982868
150000000,16,0.448177,0.330071,0.778248
150000000,16,0.583690,0.341779,0.925469
150000000,16,0.486951,0.379414,0.866365
150000000,16,0.522095,0.470401,0.992496
150000000,16,0.485108,0.363643,0.848751
150000000,16,0.457730,0.278341,0.736071
150000000,16,0.392350,0.318373,0.710723
150000000,16,0.400433,0.359938,0.760371
150000000,16,0.441115,0.385663,0.826778
150000000,16,0.436389,0.292508,0.728897
150000000,16,0.458021,0.346289,0.804310
150000000,16,0.413957,0.493228,0.907185
150000000,16,0.626371,0.308163,0.934534
150000000,16,0.445048,0.367953,0.813001
150000000,16,0.554143,0.445788,0.999931
150000000,16,0.418021,0.341329,0.759350
150000000,16,0.471815,0.301443,0.773258
150000000,16,0.400106,0.453811,0.853917
150000000,16,0.487667,0.303495,0.791162
150000000,16,0.474954,0.394903,0.869857
150000000,16,0.471380,0.460863,0.932243
150000000,16,0.518776,0.306607,0.825383
150000000,16,0.482033,0.288455,0.770488
