DimArray,processes,generateArray_time,countingSort_time,elapsed
200000000,2,1.691895,0.284683,1.976578
200000000,2,1.692735,0.281694,1.974429
200000000,2,1.688645,0.277252,1.965897
200000000,2,1.707546,0.286757,1.994303
200000000,2,1.692948,0.276566,1.969514
200000000,2,1.687989,0.279407,1.967396
200000000,2,1.678196,0.279950,1.958146
200000000,2,1.681031,0.277035,1.958066
200000000,2,1.683057,0.280444,1.963501
200000000,2,1.693692,0.285277,1.978969
200000000,2,1.681537,0.280984,1.962521
200000000,2,1.709993,0.287113,1.997106
200000000,2,1.688418,0.281639,1.970057
200000000,2,1.682217,0.276722,1.958939
200000000,2,1.678890,0.280345,1.959235
200000000,2,1.677317,0.278000,1.955317
200000000,2,1.689939,0.283667,1.973606
200000000,2,1.713939,0.286222,2.000161
200000000,2,1.699432,0.284192,1.983624
200000000,2,1.682944,0.282834,1.965778
200000000,2,1.708458,0.286862,1.995320
200000000,2,1.688199,0.280297,1.968496
200000000,2,1.711485,0.284402,1.995887
200000000,2,1.682516,0.279609,1.962125
200000000,2,1.707036,0.284286,1.991322
200000000,2,1.688794,0.277294,1.966088
200000000,2,1.707104,0.285300,1.992404
200000000,2,1.709661,0.285739,1.995400
200000000,2,1.682986,0.283385,1.966371
200000000,2,1.696833,0.292046,1.988879
200000000,2,1.694903,0.285094,1.979997
200000000,2,1.702081,0.285458,1.987539
200000000,2,1.683068,0.286436,1.969504
200000000,2,1.691910,0.277719,1.969629
200000000,2,1.686889,0.280306,1.967195
200000000,2,1.704644,0.286820,1.991464
200000000,2,1.688852,0.285165,1.974017
200000000,2,1.677329,0.278919,1.956248
200000000,2,1.681766,0.284493,1.966259
200000000,2,1.706741,0.287057,1.993798
200000000,2,1.682346,0.280917,1.963263
200000000,2,1.693997,0.281557,1.975554
200000000,2,1.689883,0.278823,1.968706
200000000,2,1.683071,0.278028,1.961099
200000000,2,1.678257,0.277775,1.956032
200000000,2,1.686407,0.283736,1.970143
200000000,2,1.684491,0.280618,1.965109
200000000,2,1.680298,0.285241,1.965539
200000000,2,1.693930,0.280901,1.974831
200000000,2,1.708244,0.287155,1.995399
