DimArray,processes,generateArray_time,countingSort_time,elapsed
50000000,4,0.160152,0.067416,0.227568
50000000,4,0.161230,0.068971,0.230201
50000000,4,0.160740,0.067570,0.228310
50000000,4,0.160379,0.070147,0.230526
50000000,4,0.159143,0.067979,0.227122
50000000,4,0.160475,0.067923,0.228398
50000000,4,0.158660,0.068776,0.227436
50000000,4,0.159880,0.068327,0.228207
50000000,4,0.158897,0.069423,0.228320
50000000,4,0.157460,0.068196,0.225656
50000000,4,0.160355,0.067167,0.227522
50000000,4,0.160709,0.068385,0.229094
50000000,4,0.161506,0.067345,0.228851
50000000,4,0.161752,0.068145,0.229897
50000000,4,0.161020,0.067695,0.228715
50000000,4,0.160221,0.067492,0.227713
50000000,4,0.159735,0.067955,0.227690
50000000,4,0.159936,0.069136,0.229072
50000000,4,0.159953,0.067398,0.227351
50000000,4,0.159004,0.067794,0.226798
50000000,4,0.160347,0.067597,0.227944
50000000,4,0.161039,0.067621,0.228660
50000000,4,0.160745,0.067887,0.228632
50000000,4,0.160674,0.067506,0.228180
50000000,4,0.160114,0.067236,0.227350
50000000,4,0.160466,0.067365,0.227831
50000000,4,0.161416,0.067154,0.228570
50000000,4,0.160726,0.067478,0.228204
50000000,4,0.160546,0.069321,0.229867
50000000,4,0.160638,0.069107,0.229745
50000000,4,0.160458,0.067552,0.228010
50000000,4,0.160396,0.067707,0.228103
50000000,4,0.160599,0.067464,0.228063
50000000,4,0.161143,0.069031,0.230174
50000000,4,0.160618,0.067652,0.228270
50000000,4,0.160335,0.067574,0.227909
50000000,4,0.160301,0.067996,0.228297
50000000,4,0.160386,0.067809,0.228195
50000000,4,0.160560,0.067511,0.228071
50000000,4,0.160984,0.067747,0.228731
50000000,4,0.160278,0.067444,0.227722
50000000,4,0.160641,0.067564,0.228205
50000000,4,0.160643,0.067699,0.228342
50000000,4,0.162010,0.067728,0.229738
50000000,4,0.159970,0.067564,0.227534
50000000,4,0.160699,0.068923,0.229622
50000000,4,0.160308,0.067450,0.227758
50000000,4,0.160906,0.067605,0.228511
50000000,4,0.159997,0.069898,0.229895
50000000,4,0.160823,0.067347,0.228170
