DimArray,processes,generateArray_time,countingSort_time,elapsed
50000000,1,0.353186,0.038201,0.391387
50000000,1,0.352445,0.040436,0.392881
50000000,1,0.352272,0.038207,0.390479
50000000,1,0.352892,0.038234,0.391126
50000000,1,0.357260,0.038125,0.395385
50000000,1,0.352757,0.038280,0.391037
50000000,1,0.361836,0.038320,0.400156
50000000,1,0.356475,0.038234,0.394709
50000000,1,0.352816,0.038163,0.390979
50000000,1,0.353747,0.038285,0.392032
50000000,1,0.352834,0.038184,0.391018
50000000,1,0.352528,0.040508,0.393036
50000000,1,0.353285,0.038148,0.391433
50000000,1,0.354727,0.038163,0.392890
50000000,1,0.352979,0.038178,0.391157
50000000,1,0.352037,0.039075,0.391112
50000000,1,0.352779,0.038122,0.390901
50000000,1,0.353001,0.038147,0.391148
50000000,1,0.353758,0.038233,0.391991
50000000,1,0.353020,0.038116,0.391136
50000000,1,0.353769,0.038199,0.391968
50000000,1,0.353177,0.040021,0.393198
50000000,1,0.353049,0.038186,0.391235
50000000,1,0.353034,0.038231,0.391265
50000000,1,0.353172,0.038145,0.391317
50000000,1,0.353469,0.038170,0.391639
50000000,1,0.354137,0.038163,0.392300
50000000,1,0.353849,0.038173,0.392022
50000000,1,0.353800,0.038130,0.391930
50000000,1,0.353293,0.038238,0.391531
50000000,1,0.352887,0.038206,0.391093
50000000,1,0.353194,0.038557,0.391751
50000000,1,0.353176,0.038267,0.391443
50000000,1,0.353185,0.038225,0.391410
50000000,1,0.352712,0.038208,0.390920
50000000,1,0.352669,0.038093,0.390762
50000000,1,0.353468,0.038294,0.391762
50000000,1,0.353233,0.038163,0.391396
50000000,1,0.353362,0.038156,0.391518
50000000,1,0.352940,0.038155,0.391095
50000000,1,0.353301,0.038165,0.391466
50000000,1,0.354042,0.038118,0.392160
50000000,1,0.352479,0.038210,0.390689
50000000,1,0.352878,0.038115,0.390993
50000000,1,0.353242,0.038203,0.391445
50000000,1,0.353610,0.038179,0.391789
50000000,1,0.352898,0.038158,0.391056
50000000,1,0.353425,0.038113,0.391538
50000000,1,0.353042,0.038265,0.391307
50000000,1,0.352661,0.038246,0.390907
