DimArray,processes,generateArray_time,countingSort_time,elapsed
50000000,8,0.096850,0.063500,0.160350
50000000,8,0.094609,0.064598,0.159207
50000000,8,0.094010,0.065174,0.159184
50000000,8,0.095151,0.065007,0.160158
50000000,8,0.095818,0.064390,0.160208
50000000,8,0.094733,0.065563,0.160296
50000000,8,0.095476,0.064322,0.159798
50000000,8,0.100136,0.064695,0.164831
50000000,8,0.095169,0.064917,0.160086
50000000,8,0.094161,0.061860,0.156021
50000000,8,0.093994,0.065181,0.159175
50000000,8,0.099006,0.063425,0.162431
50000000,8,0.095011,0.064767,0.159778
50000000,8,0.094933,0.063117,0.158050
50000000,8,0.100370,0.063872,0.164242
50000000,8,0.094830,0.065270,0.160100
50000000,8,0.096160,0.063634,0.159794
50000000,8,0.094990,0.063387,0.158377
50000000,8,0.095310,0.063494,0.158804
50000000,8,0.097534,0.063766,0.161300
50000000,8,0.094740,0.062991,0.157731
50000000,8,0.094864,0.065575,0.160439
50000000,8,0.097936,0.063312,0.161248
50000000,8,0.095313,0.070149,0.165462
50000000,8,0.095085,0.064575,0.159660
50000000,8,0.094216,0.064749,0.158965
50000000,8,0.094920,0.065066,0.159986
50000000,8,0.094459,0.064537,0.158996
50000000,8,0.094992,0.064440,0.159432
50000000,8,0.095183,0.065348,0.160531
50000000,8,0.094607,0.065229,0.159836
50000000,8,0.105492,0.065219,0.170711
50000000,8,0.095264,0.062435,0.157699
50000000,8,0.094769,0.064360,0.159129
50000000,8,0.094384,0.062461,0.156845
50000000,8,0.094542,0.073503,0.168045
50000000,8,0.104706,0.067679,0.172385
50000000,8,0.095574,0.064939,0.160513
50000000,8,0.094677,0.064826,0.159503
50000000,8,0.094798,0.065241,0.160039
50000000,8,0.095243,0.064360,0.159603
50000000,8,0.095610,0.062695,0.158305
50000000,8,0.097809,0.063857,0.161666
50000000,8,0.095075,0.063154,0.158229
50000000,8,0.094586,0.064974,0.159560
50000000,8,0.095977,0.064611,0.160588
50000000,8,0.100089,0.063406,0.163495
50000000,8,0.096497,0.064901,0.161398
50000000,8,0.094885,0.065116,0.160001
50000000,8,0.094977,0.064931,0.159908
