DimArray,processes,generateArray_time,countingSort_time,elapsed
50000000,16,0.400192,0.216779,0.616971
50000000,16,0.269186,0.195720,0.464906
50000000,16,0.245257,0.241309,0.486566
50000000,16,0.332474,0.187687,0.520161
50000000,16,0.376650,0.184775,0.561425
50000000,16,0.321969,0.145622,0.467591
50000000,16,0.328128,0.229248,0.557376
50000000,16,0.343461,0.172939,0.516400
50000000,16,0.293605,0.174063,0.467668
50000000,16,0.380822,0.178572,0.559394
50000000,16,0.329460,0.291556,0.621016
50000000,16,0.220960,0.164358,0.385318
50000000,16,0.304172,0.200817,0.504989
50000000,16,0.284662,0.138724,0.423386
50000000,16,0.308352,0.168031,0.476383
50000000,16,0.260672,0.209901,0.470573
50000000,16,0.327841,0.138611,0.466452
50000000,16,0.256575,0.184699,0.441274
50000000,16,0.302841,0.138253,0.441094
50000000,16,0.266116,0.182120,0.448236
50000000,16,0.408337,0.210039,0.618376
50000000,16,0.313347,0.181960,0.495307
50000000,16,0.263192,0.189464,0.452656
50000000,16,0.316303,0.177183,0.493486
50000000,16,0.293955,0.216622,0.510577
50000000,16,0.188470,0.159753,0.348223
50000000,16,0.293447,0.198233,0.491680
50000000,16,0.311391,0.173632,0.485023
50000000,16,0.251108,0.207812,0.458920
50000000,16,0.398745,0.263417,0.662162
50000000,16,0.270486,0.205619,0.476105
50000000,16,0.272290,0.205778,0.478068
50000000,16,0.333841,0.183414,0.517255
50000000,16,0.443150,0.182026,0.625176
50000000,16,0.358112,0.251991,0.610103
50000000,16,0.213198,0.217145,0.430343
50000000,16,0.363371,0.166775,0.530146
50000000,16,0.281046,0.180389,0.461435
50000000,16,0.363176,0.199524,0.562700
50000000,16,0.263986,0.245985,0.509971
50000000,16,0.314544,0.194426,0.508970
50000000,16,0.332970,0.145323,0.478293
50000000,16,0.263809,0.185190,0.448999
50000000,16,0.290790,0.180589,0.471379
50000000,16,0.336676,0.188639,0.525315
50000000,16,0.249710,0.217199,0.466909
50000000,16,0.275619,0.234509,0.510128
50000000,16,0.267068,0.209495,0.476563
50000000,16,0.418196,0.155460,0.573656
50000000,16,0.291768,0.221634,0.513402
