DimArray,processes,generateArray_time,countingSort_time,elapsed
200000000,8,0.343627,0.269133,0.612760
200000000,8,0.349776,0.266412,0.616188
200000000,8,0.356568,0.263760,0.620328
200000000,8,0.369225,0.270552,0.639777
200000000,8,0.352748,0.253891,0.606639
200000000,8,0.354503,0.252633,0.607136
200000000,8,0.350754,0.256701,0.607455
200000000,8,0.352691,0.261365,0.614056
200000000,8,0.348309,0.251728,0.600037
200000000,8,0.351419,0.253027,0.604446
200000000,8,0.353918,0.255902,0.609820
200000000,8,0.363594,0.255296,0.618890
200000000,8,0.342799,0.260266,0.603065
200000000,8,0.352511,0.258016,0.610527
200000000,8,0.342326,0.262780,0.605106
200000000,8,0.346042,0.261065,0.607107
200000000,8,0.355159,0.251282,0.606441
200000000,8,0.351238,0.259145,0.610383
200000000,8,0.348239,0.257139,0.605378
200000000,8,0.348783,0.261096,0.609879
200000000,8,0.344577,0.260034,0.604611
200000000,8,0.344012,0.262180,0.606192
200000000,8,0.346828,0.250106,0.596934
200000000,8,0.349753,0.261524,0.611277
200000000,8,0.345643,0.268801,0.614444
200000000,8,0.350860,0.264275,0.615135
200000000,8,0.341243,0.262198,0.603441
200000000,8,0.352533,0.255204,0.607737
200000000,8,0.347012,0.262709,0.609721
200000000,8,0.344494,0.254883,0.599377
200000000,8,0.349385,0.261949,0.611334
200000000,8,0.346977,0.251268,0.598245
200000000,8,0.344313,0.252764,0.597077
200000000,8,0.348482,0.262887,0.611369
200000000,8,0.343572,0.260483,0.604055
200000000,8,0.344186,0.252194,0.596380
200000000,8,0.347697,0.252261,0.599958
200000000,8,0.349027,0.261374,0.610401
200000000,8,0.353552,0.260749,0.614301
200000000,8,0.348056,0.257458,0.605514
200000000,8,0.346922,0.264218,0.611140
200000000,8,0.347848,0.256841,0.604689
200000000,8,0.345811,0.261416,0.607227
200000000,8,0.351121,0.253696,0.604817
200000000,8,0.341030,0.261907,0.602937
200000000,8,0.347315,0.252410,0.599725
200000000,8,0.346455,0.259598,0.606053
200000000,8,0.342027,0.260884,0.602911
200000000,8,0.342307,0.263025,0.605332
200000000,8,0.345392,0.265077,0.610469
