DimArray,processes,generateArray_time,countingSort_time,elapsed
200000000,16,0.683241,0.308084,0.991325
200000000,16,0.519460,0.438066,0.957526
200000000,16,0.620689,0.412423,1.033112
200000000,16,0.607336,0.404133,1.011469
200000000,16,0.531069,0.425561,0.956630
200000000,16,0.640975,0.423552,1.064527
200000000,16,0.619916,0.363670,0.983586
200000000,16,0.604625,0.389884,0.994509
200000000,16,0.771562,0.327673,1.099235
200000000,16,0.738012,0.333802,1.071814
200000000,16,0.571041,0.511925,1.082966
200000000,16,0.553309,0.368285,0.921594
200000000,16,0.662627,0.359079,1.021706
200000000,16,0.667532,0.528162,1.195694
200000000,16,0.533072,0.360546,0.893618
200000000,16,0.632220,0.338651,0.970871
200000000,16,0.560226,0.410089,0.970315
200000000,16,0.694839,0.486880,1.181719
200000000,16,0.509273,0.514339,1.023612
200000000,16,0.676256,0.517670,1.193926
200000000,16,0.591215,0.487071,1.078286
200000000,16,0.555270,0.343426,0.898696
200000000,16,0.596084,0.362794,0.958878
200000000,16,0.533718,0.376926,0.910644
200000000,16,0.605936,0.355316,0.961252
200000000,16,0.567314,0.503874,1.071188
200000000,16,0.553328,0.497004,1.050332
200000000,16,0.565266,0.353174,0.918440
200000000,16,0.579336,0.456372,1.035708
200000000,16,0.656075,0.404832,1.060907
200000000,16,0.612078,0.407984,1.020062
200000000,16,0.606893,0.442834,1.049727
200000000,16,0.704524,0.320200,1.024724
200000000,16,0.624495,0.365005,0.989500
200000000,16,0.543131,0.348185,0.891316
200000000,16,0.674171,0.492944,1.167115
200000000,16,0.561055,0.332911,0.893966
200000000,16,0.638485,0.439740,1.078225
200000000,16,0.519039,0.291621,0.810660
200000000,16,0.559775,0.463741,1.023516
200000000,16,0.600569,0.312801,0.913370
200000000,16,0.685464,0.563444,1.248908
200000000,16,0.636776,0.471606,1.108382
200000000,16,0.584804,0.340797,0.925601
200000000,16,0.567342,0.555784,1.123126
200000000,16,0.744894,0.397153,1.142047
200000000,16,0.569659,0.524249,1.093908
200000000,16,0.608831,0.387819,0.996650
200000000,16,0.689216,0.325493,1.014709
200000000,16,0.667379,0.319366,0.986745
