DimArray,processes,generateArray_time,countingSort_time,elapsed
100000000,1,0.715604,0.224339,0.939943
100000000,1,0.710361,0.222037,0.932398
100000000,1,0.708172,0.222182,0.930354
100000000,1,0.714537,0.221907,0.936444
100000000,1,0.709147,0.221239,0.930386
100000000,1,0.707148,0.222145,0.929293
100000000,1,0.710657,0.221791,0.932448
100000000,1,0.706432,0.220371,0.926803
100000000,1,0.705365,0.219704,0.925069
100000000,1,0.705464,0.221271,0.926735
100000000,1,0.708826,0.226046,0.934872
100000000,1,0.717846,0.223748,0.941594
100000000,1,0.713514,0.222651,0.936165
100000000,1,0.712245,0.221692,0.933937
100000000,1,0.710433,0.224067,0.934500
100000000,1,0.710593,0.226538,0.937131
100000000,1,0.711879,0.220905,0.932784
100000000,1,0.708297,0.220385,0.928682
100000000,1,0.707243,0.220485,0.927728
100000000,1,0.708189,0.222765,0.930954
100000000,1,0.708062,0.226826,0.934888
100000000,1,0.707071,0.220081,0.927152
100000000,1,0.706937,0.221355,0.928292
100000000,1,0.706625,0.220039,0.926664
100000000,1,0.708558,0.222341,0.930899
100000000,1,0.710274,0.225919,0.936193
100000000,1,0.709326,0.220162,0.929488
100000000,1,0.708198,0.222798,0.930996
100000000,1,0.706908,0.220005,0.926913
100000000,1,0.707769,0.221426,0.929195
100000000,1,0.712771,0.224995,0.937766
100000000,1,0.709171,0.219903,0.929074
100000000,1,0.707976,0.219989,0.927965
100000000,1,0.706772,0.220068,0.926840
100000000,1,0.707247,0.221679,0.928926
100000000,1,0.712663,0.223950,0.936613
100000000,1,0.708198,0.220010,0.928208
100000000,1,0.710363,0.221903,0.932266
100000000,1,0.708297,0.220088,0.928385
100000000,1,0.708290,0.221267,0.929557
100000000,1,0.713258,0.222117,0.935375
100000000,1,0.707252,0.220937,0.928189
100000000,1,0.711093,0.223147,0.934240
100000000,1,0.707932,0.220331,0.928263
100000000,1,0.707850,0.220584,0.928434
100000000,1,0.712332,0.220750,0.933082
100000000,1,0.710704,0.219575,0.930279
100000000,1,0.704621,0.219113,0.923734
100000000,1,0.705006,0.220407,0.925413
100000000,1,0.705445,0.219215,0.924660
