DimArray,processes,generateArray_time,countingSort_time,elapsed
50000000,2,0.431108,0.138689,0.569797
50000000,2,0.441382,0.145852,0.587234
50000000,2,0.440826,0.144468,0.585294
50000000,2,0.439532,0.144985,0.584517
50000000,2,0.437312,0.144486,0.581798
50000000,2,0.432543,0.137801,0.570344
50000000,2,0.432365,0.136878,0.569243
50000000,2,0.438221,0.143816,0.582037
50000000,2,0.433501,0.137441,0.570942
50000000,2,0.439330,0.143515,0.582845
50000000,2,0.432691,0.136700,0.569391
50000000,2,0.431371,0.137788,0.569159
50000000,2,0.438381,0.138424,0.576805
50000000,2,0.441955,0.146895,0.588850
50000000,2,0.437668,0.138591,0.576259
50000000,2,0.430890,0.140070,0.570960
50000000,2,0.433470,0.138687,0.572157
50000000,2,0.430786,0.138861,0.569647
50000000,2,0.430108,0.137912,0.568020
50000000,2,0.430668,0.138238,0.568906
50000000,2,0.429599,0.137507,0.567106
50000000,2,0.431624,0.137231,0.568855
50000000,2,0.431437,0.138903,0.570340
50000000,2,0.432127,0.142544,0.574671
50000000,2,0.431464,0.138710,0.570174
50000000,2,0.435759,0.137795,0.573554
50000000,2,0.440532,0.144573,0.585105
50000000,2,0.440653,0.145917,0.586570
50000000,2,0.429926,0.138633,0.568559
50000000,2,0.431404,0.137192,0.568596
50000000,2,0.430598,0.137355,0.567953
50000000,2,0.442436,0.146806,0.589242
50000000,2,0.432483,0.137940,0.570423
50000000,2,0.442027,0.145747,0.587774
50000000,2,0.433779,0.137874,0.571653
50000000,2,0.430506,0.137836,0.568342
50000000,2,0.431990,0.145805,0.577795
50000000,2,0.432150,0.138170,0.570320
50000000,2,0.431016,0.138068,0.569084
50000000,2,0.441527,0.145677,0.587204
50000000,2,0.441292,0.147241,0.588533
50000000,2,0.440100,0.145381,0.585481
50000000,2,0.430764,0.138216,0.568980
50000000,2,0.441240,0.145781,0.587021
50000000,2,0.440222,0.145068,0.585290
50000000,2,0.441641,0.145685,0.587326
50000000,2,0.436130,0.136801,0.572931
50000000,2,0.442288,0.148683,0.590971
50000000,2,0.442253,0.145375,0.587628
50000000,2,0.430931,0.137927,0.568858
