DimArray,processes,generateArray_time,countingSort_time,elapsed
50000000,16,0.300588,0.228204,0.528792
50000000,16,0.293490,0.261792,0.555282
50000000,16,0.304851,0.210055,0.514906
50000000,16,0.242892,0.221363,0.464255
50000000,16,0.277936,0.270008,0.547944
50000000,16,0.238899,0.301359,0.540258
50000000,16,0.309757,0.317175,0.626932
50000000,16,0.280338,0.257155,0.537493
50000000,16,0.302455,0.307783,0.610238
50000000,16,0.317304,0.253042,0.570346
50000000,16,0.228605,0.222642,0.451247
50000000,16,0.528205,0.258957,0.787162
50000000,16,0.238674,0.297484,0.536158
50000000,16,0.315453,0.360491,0.675944
50000000,16,0.482867,0.313859,0.796726
50000000,16,0.306921,0.320648,0.627569
50000000,16,0.210912,0.246502,0.457414
50000000,16,0.342146,0.251720,0.593866
50000000,16,0.481759,0.288473,0.770232
50000000,16,0.247865,0.342392,0.590257
50000000,16,0.463410,0.284878,0.748288
50000000,16,0.356462,0.317409,0.673871
50000000,16,0.382555,0.364723,0.747278
50000000,16,0.256699,0.256884,0.513583
50000000,16,0.243412,0.186432,0.429844
50000000,16,0.335773,0.254876,0.590649
50000000,16,0.400651,0.308347,0.708998
50000000,16,0.260739,0.271514,0.532253
50000000,16,0.359448,0.207585,0.567033
50000000,16,0.258838,0.274389,0.533227
50000000,16,0.260234,0.241267,0.501501
50000000,16,0.369874,0.355852,0.725726
50000000,16,0.315322,0.291245,0.606567
50000000,16,0.211070,0.245250,0.456320
50000000,16,0.245645,0.292473,0.538118
50000000,16,0.320300,0.334230,0.654530
50000000,16,0.297403,0.353678,0.651081
50000000,16,0.305937,0.241206,0.547143
50000000,16,0.253678,0.267511,0.521189
50000000,16,0.285240,0.307910,0.593150
50000000,16,0.283444,0.314266,0.597710
50000000,16,0.446306,0.281491,0.727797
50000000,16,0.356757,0.268554,0.625311
50000000,16,0.313078,0.246755,0.559833
50000000,16,0.305883,0.231289,0.537172
50000000,16,0.291760,0.210100,0.501860
50000000,16,0.289341,0.275637,0.564978
50000000,16,0.226569,0.236227,0.462796
50000000,16,0.363166,0.270882,0.634048
50000000,16,0.335669,0.296983,0.632652
