DimArray,processes,generateArray_time,countingSort_time,elapsed
150000000,1,1.065172,0.114366,1.179538
150000000,1,1.060867,0.114353,1.175220
150000000,1,1.071836,0.114972,1.186808
150000000,1,1.059204,0.114371,1.173575
150000000,1,1.061550,0.114337,1.175887
150000000,1,1.059918,0.114442,1.174360
150000000,1,1.059862,0.114304,1.174166
150000000,1,1.060261,0.115939,1.176200
150000000,1,1.060657,0.114333,1.174990
150000000,1,1.061865,0.114513,1.176378
150000000,1,1.059165,0.114392,1.173557
150000000,1,1.061863,0.120011,1.181874
150000000,1,1.060836,0.114233,1.175069
150000000,1,1.060321,0.114419,1.174740
150000000,1,1.060765,0.114389,1.175154
150000000,1,1.063264,0.115161,1.178425
150000000,1,1.059887,0.114539,1.174426
150000000,1,1.062114,0.114400,1.176514
150000000,1,1.060048,0.114271,1.174319
150000000,1,1.063060,0.114348,1.177408
150000000,1,1.057888,0.114238,1.172126
150000000,1,1.062829,0.114478,1.177307
150000000,1,1.060632,0.114633,1.175265
150000000,1,1.064069,0.114765,1.178834
150000000,1,1.059486,0.114443,1.173929
150000000,1,1.061889,0.114524,1.176413
150000000,1,1.059706,0.114297,1.174003
150000000,1,1.066597,0.114419,1.181016
150000000,1,1.060479,0.114533,1.175012
150000000,1,1.060940,0.114241,1.175181
150000000,1,1.060471,0.114405,1.174876
150000000,1,1.066783,0.114377,1.181160
150000000,1,1.060250,0.114360,1.174610
150000000,1,1.062754,0.114347,1.177101
150000000,1,1.058992,0.114815,1.173807
150000000,1,1.060783,0.114431,1.175214
150000000,1,1.059357,0.114348,1.173705
150000000,1,1.058975,0.114313,1.173288
150000000,1,1.059085,0.118408,1.177493
150000000,1,1.059221,0.114501,1.173722
150000000,1,1.060164,0.114467,1.174631
150000000,1,1.057629,0.114329,1.171958
150000000,1,1.060600,0.116037,1.176637
150000000,1,1.070929,0.114348,1.185277
150000000,1,1.063886,0.114308,1.178194
150000000,1,1.061420,0.114506,1.175926
150000000,1,1.062897,0.116060,1.178957
150000000,1,1.064862,0.114310,1.179172
150000000,1,1.063280,0.114346,1.177626
150000000,1,1.060064,0.114395,1.174459
