DimArray,processes,generateArray_time,countingSort_time,elapsed
50000000,8,0.103123,0.063081,0.166204
50000000,8,0.097691,0.065557,0.163248
50000000,8,0.097258,0.063044,0.160302
50000000,8,0.095186,0.064577,0.159763
50000000,8,0.094441,0.063216,0.157657
50000000,8,0.094584,0.061711,0.156295
50000000,8,0.095909,0.072814,0.168723
50000000,8,0.102821,0.073217,0.176038
50000000,8,0.095023,0.063097,0.158120
50000000,8,0.095315,0.064997,0.160312
50000000,8,0.095638,0.066723,0.162361
50000000,8,0.094636,0.063332,0.157968
50000000,8,0.094978,0.065453,0.160431
50000000,8,0.094729,0.065185,0.159914
50000000,8,0.094763,0.061749,0.156512
50000000,8,0.095870,0.063065,0.158935
50000000,8,0.094848,0.065628,0.160476
50000000,8,0.094904,0.064697,0.159601
50000000,8,0.096572,0.064854,0.161426
50000000,8,0.094660,0.065218,0.159878
50000000,8,0.094773,0.065515,0.160288
50000000,8,0.095862,0.062920,0.158782
50000000,8,0.094875,0.064560,0.159435
50000000,8,0.095973,0.064888,0.160861
50000000,8,0.098465,0.064505,0.162970
50000000,8,0.109500,0.063230,0.172730
50000000,8,0.100430,0.063924,0.164354
50000000,8,0.094365,0.064587,0.158952
50000000,8,0.094713,0.065462,0.160175
50000000,8,0.094826,0.065292,0.160118
50000000,8,0.094950,0.062508,0.157458
50000000,8,0.095177,0.065244,0.160421
50000000,8,0.096618,0.064200,0.160818
50000000,8,0.095222,0.062904,0.158126
50000000,8,0.094905,0.064434,0.159339
50000000,8,0.094535,0.064438,0.158973
50000000,8,0.095305,0.064830,0.160135
50000000,8,0.095793,0.065832,0.161625
50000000,8,0.094840,0.067266,0.162106
50000000,8,0.095044,0.065573,0.160617
50000000,8,0.095650,0.063712,0.159362
50000000,8,0.094912,0.062855,0.157767
50000000,8,0.102640,0.063824,0.166464
50000000,8,0.094615,0.064639,0.159254
50000000,8,0.095423,0.064900,0.160323
50000000,8,0.094762,0.065098,0.159860
50000000,8,0.095034,0.063494,0.158528
50000000,8,0.094785,0.065656,0.160441
50000000,8,0.094974,0.064518,0.159492
50000000,8,0.094500,0.064485,0.158985
