DimArray,processes,generateArray_time,countingSort_time,elapsed
100000000,8,0.191205,0.121947,0.313152
100000000,8,0.190357,0.125391,0.315748
100000000,8,0.190485,0.125082,0.315567
100000000,8,0.188623,0.123610,0.312233
100000000,8,0.199876,0.128658,0.328534
100000000,8,0.203511,0.122961,0.326472
100000000,8,0.190244,0.121802,0.312046
100000000,8,0.191867,0.123803,0.315670
100000000,8,0.191340,0.122727,0.314067
100000000,8,0.190852,0.122426,0.313278
100000000,8,0.206903,0.124816,0.331719
100000000,8,0.190801,0.123308,0.314109
100000000,8,0.190538,0.123827,0.314365
100000000,8,0.189636,0.123096,0.312732
100000000,8,0.189913,0.124329,0.314242
100000000,8,0.189838,0.123729,0.313567
100000000,8,0.189408,0.122995,0.312403
100000000,8,0.190551,0.124358,0.314909
100000000,8,0.192334,0.122804,0.315138
100000000,8,0.194649,0.123807,0.318456
100000000,8,0.195550,0.123774,0.319324
100000000,8,0.191209,0.123977,0.315186
100000000,8,0.191880,0.123367,0.315247
100000000,8,0.190933,0.122781,0.313714
100000000,8,0.189767,0.123331,0.313098
100000000,8,0.196254,0.122487,0.318741
100000000,8,0.188243,0.122527,0.310770
100000000,8,0.189027,0.122997,0.312024
100000000,8,0.191399,0.122650,0.314049
100000000,8,0.188693,0.121766,0.310459
100000000,8,0.190880,0.123662,0.314542
100000000,8,0.192625,0.122520,0.315145
100000000,8,0.187933,0.122239,0.310172
100000000,8,0.188852,0.123801,0.312653
100000000,8,0.187400,0.124421,0.311821
100000000,8,0.188202,0.125449,0.313651
100000000,8,0.188320,0.122644,0.310964
100000000,8,0.187644,0.126898,0.314542
100000000,8,0.188526,0.122603,0.311129
100000000,8,0.187742,0.122220,0.309962
100000000,8,0.187570,0.122557,0.310127
100000000,8,0.189692,0.124051,0.313743
100000000,8,0.189611,0.123895,0.313506
100000000,8,0.187973,0.124570,0.312543
100000000,8,0.187705,0.124235,0.311940
100000000,8,0.191722,0.122618,0.314340
100000000,8,0.196709,0.123575,0.320284
100000000,8,0.188396,0.122182,0.310578
100000000,8,0.187800,0.135156,0.322956
100000000,8,0.187747,0.122801,0.310548
