DimArray,processes,generateArray_time,countingSort_time,elapsed
200000000,4,0.637279,0.424754,1.062033
200000000,4,0.633974,0.428179,1.062153
200000000,4,0.644669,0.424715,1.069384
200000000,4,0.642119,0.420419,1.062538
200000000,4,0.636936,0.424151,1.061087
200000000,4,0.636566,0.422553,1.059119
200000000,4,0.641667,0.422887,1.064554
200000000,4,0.631956,0.424229,1.056185
200000000,4,0.665720,0.416141,1.081861
200000000,4,0.651498,0.418414,1.069912
200000000,4,0.655684,0.413436,1.069120
200000000,4,0.649621,0.419223,1.068844
200000000,4,0.663095,0.409937,1.073032
200000000,4,0.651143,0.411033,1.062176
200000000,4,0.660893,0.411504,1.072397
200000000,4,0.648366,0.416392,1.064758
200000000,4,0.660857,0.416181,1.077038
200000000,4,0.650155,0.415649,1.065804
200000000,4,0.650920,0.409686,1.060606
200000000,4,0.649685,0.417304,1.066989
200000000,4,0.651595,0.410430,1.062025
200000000,4,0.659322,0.415049,1.074371
200000000,4,0.664946,0.409358,1.074304
200000000,4,0.661507,0.411718,1.073225
200000000,4,0.652548,0.409867,1.062415
200000000,4,0.652059,0.414758,1.066817
200000000,4,0.662327,0.411889,1.074216
200000000,4,0.650415,0.411199,1.061614
200000000,4,0.647105,0.416788,1.063893
200000000,4,0.667526,0.413986,1.081512
200000000,4,0.653725,0.407930,1.061655
200000000,4,0.649175,0.409385,1.058560
200000000,4,0.646762,0.412828,1.059590
200000000,4,0.649551,0.417893,1.067444
200000000,4,0.660433,0.410186,1.070619
200000000,4,0.652268,0.414412,1.066680
200000000,4,0.646203,0.410265,1.056468
200000000,4,0.659394,0.412783,1.072177
200000000,4,0.660770,0.411121,1.071891
200000000,4,0.650880,0.412474,1.063354
200000000,4,0.664231,0.408822,1.073053
200000000,4,0.661210,0.418469,1.079679
200000000,4,0.662893,0.411038,1.073931
200000000,4,0.650991,0.417983,1.068974
200000000,4,0.654677,0.415251,1.069928
200000000,4,0.651940,0.418240,1.070180
200000000,4,0.653169,0.410480,1.063649
200000000,4,0.652675,0.418906,1.071581
200000000,4,0.655324,0.413708,1.069032
200000000,4,0.661618,0.412596,1.074214
